"Munic_Id";"Munic_Nome";"UF_Sigla";"UF_Regiao";"year";"MunicOP_OP";"Adopt.pb";"Abandon.pb";"MayorName";"MayorElecNumber";"MayorParty";"ptwin";"ChangeEffect2002";"mindist";"VictoryPTAfter2002";"taxrevenues";"TransferDep";"balsheetrev";"MayorParty2";"ContinuityMayor";"continuitypartpref";"MayorsVulnerability";"legprefpower";"MayorControlCouncil";"YearDummies1996";"YearDummies2000";"YearDummies2004";"YearDummies2008";"YearDummies2012";"population";"GDP";"GDPpp";"Investpp";"InvestPer";"InvestTotal";"Budget";"BudgetPP";"FiscalSpace";"FiscalSpacePer";"DebtPer";"LeftParty";"lag.pb";"MunicOP_OP.Acum";"Capital"
1100023;"ARIQUEMES";"RO";"N";1992;0;0;0;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0
1100023;"ARIQUEMES";"RO";"N";1996;0;0;0;NA;NA;NA;NA;0;NA;NA;0,0689064110268172;0,814507543652977;1,07805029400718;NA;NA;NA;NA;NA;NA;1;0;0;0;0;61737;NA;NA;126,704142859491;0,179422816528322;7822333,6677164;43597206,9721782;706,176311971398;NA;NA;NA;NA;0;0;0
1100023;"ARIQUEMES";"RO";"N";2000;0;0;0;"FRANCISCO DE SALES DUARTE AZEVEDO";"14";"PTB";0;0;NA;0;0,0682161232611516;0,806444125939241;1,057190868126;"PTB";0;0;0,490280116332466;0;0;0;1;0;0;0;68503;263247,746404992;3,8428644935987;185,604521184712;0,210708535333103;12714466,5147163;60341487,8026484;880,859054386645;3920559,84266667;0,167170919350981;0,022962737043918;0;0;0;0
1100023;"ARIQUEMES";"RO";"N";2004;0;0;0;"ERNANDES SANTOS AMORIM";"11";"PPB";0;1;1,45977520942688;0;0,0735155102824761;0,907682610731825;0,941461797615115;"PP";0;0;0,426618534737839;0,0666666666666667;0;0;0;1;0;0;75098;381793,394;5,08393557751205;114,94016915373;0,119421014601849;8631776,82310679;72280216,7766303;962,478585003999;6835695,529;0,18462021894597;0,0127004312640866;0;0;0;0
1100023;"ARIQUEMES";"RO";"N";2008;0;0;0;"CONFUCIO AIRES MOURA";"15";"PMDB";0;1;1,4389466047287;0;0,0985806694607561;0,847485066256979;0,957813225040992;"PMDB";0;0;0,882519779071503;0,1;0;0;0;0;1;0;86901;431488,624763132;4,9652895221359;247,489491282385;0,154693879696406;21507084,2819305;139029962,427338;1599,86608240801;8972683,96500001;0,111512421769252;0,0227337841791046;0;0;0;0
1100023;"ARIQUEMES";"RO";"N";2012;0;0;0;"CONFUCIO AIRES MOURA";"15";"PMDB";0;1;1,4389466047287;0;0,121815359758686;0,737450882612686;0,922867235982919;"PMDB";1;1;0,355006543458138;0,2;0;0;0;0;0;1;84581;525882,741796657;6,21750442530423;289,47782646772;0,136627984037814;24484324,0404662;179204313,178549;2118,73013062685;9204206,529;0,0676669336739579;0,0213208125427378;0;0;0;0
1100049;"CACOAL";"RO";"N";1992;0;0;0;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0
1100049;"CACOAL";"RO";"N";1996;0;0;0;NA;NA;NA;NA;0;NA;NA;0,132207411608212;0,785599158076622;1,27325859661297;NA;NA;NA;NA;NA;NA;1;0;0;0;0;72462;NA;NA;131,308014418922;0,226038031383905;9514841,34082395;42093984,2847236;580,911157361425;NA;NA;NA;NA;0;0;0
1100049;"CACOAL";"RO";"N";2000;0;0;0;"DIVINO CARDOSO CAMPOS";"25";"PFL";0;0;NA;0;0,0823343556676662;0,723440633867993;0,970845363652747;"DEM";0;0;0,827871772039181;0;0;0;1;0;0;0;72922;230908,84715562;3,16651829565316;123,274789631204;0,147560655418005;8989444,20948664;60920332,6186215;835,4177425005;3104340,47666667;0,136630714033568;0,0132333192984361;0;0;0;0
1100049;"CACOAL";"RO";"N";2004;1;1;0;"SUELI ALVES ARAGÃO";"15";"PMDB";0;1;0;0;0,0744743301010592;0,643345951399795;0,98524134195083;"PMDB";0;0;0,488493347716649;0,3;0;0;0;1;0;0;75862;385936,472;5,08734902849912;246,43212051317;0,210799568869434;18694833,5263701;88685349,9114569;1169,03522068304;4454890,379;0,0983780752828192;0,0240695302426284;0;0;0;0
1100049;"CACOAL";"RO";"N";2008;0;0;1;"SUELI ALVES ARAGÃO";"15";"PMDB";0;1;3,63314723968506;0;0,0868943851104693;0,782750798641267;1,00192855070851;"PMDB";1;1;0,646841762535272;0,3;0;0;0;0;1;0;76417;422917,83825231;5,53434233550532;240,035773359961;0,14489783983205;18342813,6928482;126591353,702092;1656,58627925844;8371255,9605;0,11163342336191;0,0189423932839663;0;1;1;0
1100049;"CACOAL";"RO";"N";2012;0;0;0;"FRANCESCO VIALETTO";"13";"PT";1;1;3,63314723968506;1;0,105842468288203;0,731108061326986;0,924847412208618;"PT";0;0;0,595626194057152;0,3;0;0;0;0;0;1;78263;482485,503130632;6,16492471705189;235,723243904094;0,125523688492368;18448408,2376661;146971527,519985;1877,918397199;4956969,46649999;0,0487606547695839;0,0301285802238554;1;0;0;0
1100114;"JARU";"RO";"N";1992;0;0;0;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0
1100114;"JARU";"RO";"N";1996;0;0;0;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;0;0;52287;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0
1100114;"JARU";"RO";"N";2000;0;0;0;"ADEMARIO SERAFIM DE ANDRADE";"12";"PDT";0;0;NA;0;0,0432029220219452;0,82531896188406;1,05323005363547;"PDT";0;0;0,969822784810127;0;0;0;1;0;0;0;48141;111161,25376704;2,3090765411404;81,5671599486383;0,104907189581519;3926724,6470874;37430462,7047139;777,517349135121;-1439040,402;-0,110338567515731;0;1;0;0;0
1100114;"JARU";"RO";"N";2004;0;0;0;"JOSÉ AMAURI DOS SANTOS";"15";"PMDB";0;1;0,681320071220398;0;0,0424707376738052;0,771322382728447;0,966639378982449;"PMDB";0;0;0,50625537830145;0,0666666666666667;0;0;0;1;0;0;46814;253156,901;5,40771779809459;169,608202310196;0,161611381153743;7940038,38294951;49130440,7292705;1049,48179453306;2492398,203;0,0925155728257728;0,00316315257637946;0;0;0;0
1100114;"JARU";"RO";"N";2008;0;0;0;"JOSE AMAURI DOS SANTOS";"15";"PMDB";0;1;2,208744764328;0;0,0562562606377553;0,920567915134041;0,999030684587907;"PMDB";1;1;0,890201834862385;0,2;0;0;0;0;1;0;56238;299388,881683501;5,32360471004483;71,7176737341357;0,0515633417308538;4033258,53546032;78219494,7044511;1390,86551272185;-429911,662500001;-0,00988754031290864;0,0366925865642351;0;0;0;0
1100114;"JARU";"RO";"N";2012;0;0;0;"JEAN CARLOS DOS SANTOS";"15";"PMDB";0;1;2,208744764328;0;0,0833341183676136;0,781974086849;0,918887980279778;"PMDB";0;1;0,718503082399931;0,2;0;0;0;0;0;1;53955;339595,428282612;6,29404926851287;207,309171278855;0,111861396314633;11185366,3363506;99993087,0243165;1853,26822397028;3159737,554;0,0437133750343371;0,0432369984192622;0;0;0;0
