Munic_Id;year;MunicOP_OP;UF_Id;Munic_Id6;Munic_Nome;lag.pb;MunicOP_OP.Acum;population;MayorElecNumber;MayorParty;MayorName;ptwin;ChangeEffect2002;VictoryPTAfter2002;LeftParty;continuitypartpref;ContinuityMayor;MayorsVulnerability;legprefpower;MayorControlCouncil;CoalitionPref;LeftShare;BudgetPP;Investpp;InvestPer;taxrevenues;TransferDep;balsheetrev;YearDummies1996;YearDummies2000;YearDummies2004;YearDummies2008;YearDummies2012;YearDummies2016
1100023;1992;0;11;110002;ARIQUEMES;0;0;61737;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0
1100023;1996;0;11;110002;ARIQUEMES;0;0;71581;;;;;;;;;;;;;;;676,570781571348;124,908635042088;0,179422816528322;0,0689064110268172;0,814507543652977;1,07805029400718;1;0;0;0;0;0
1100023;2000;0;11;110002;ARIQUEMES;0;0;75098;14;PTB;FRANCISCO DE SALES DUARTE AZEVEDO;0;0;0;0;0;0;0,490280116332466;0;0;;0,0666666666666667;874,4457858039;185,604521184712;0,210708535333103;0,0682161232611516;0,806444125939241;1,057190868126;0;1;0;0;0;0
1100023;2004;0;11;110002;ARIQUEMES;0;0;86901;11;PPB;ERNANDES SANTOS AMORIM;0;1;0;0;0;0;0,426618534737839;0,2;0;0,2;0,266666666666667;980,057732932648;114,94016915373;0,119421014601849;0,0735155102824761;0,907682610731825;0,941461797615115;0;0;1;0;0;0
1100023;2008;0;11;110002;ARIQUEMES;0;0;84581;15;PMDB;CONFUCIO AIRES MOURA;0;1;0;0;0;0;0,882519779071503;0,2;0;0,5;0,2;1540,85867289949;221,968844395322;0,154693879696406;0,0985806694607561;0,847485066256979;0,957813225040992;0;0;0;1;0;0
1100023;2012;0;11;110002;ARIQUEMES;0;0;92747;15;PMDB;CONFUCIO AIRES MOURA;0;1;0;0;1;1;0,355006543458138;0,2;0;0,8;0,2;2128,50937386181;316,307680758686;0,136627984037814;0,121815359758686;0,737450882612686;0,922867235982919;0;0;0;0;1;0
1100023;2016;0;11;110002;ARIQUEMES;0;0;105896;33;PMN;LORIVAL RIBEIRO DE AMORIM;0;1;0;0;0;0;0,628638751165873;0,153846153846154;0;0,615384615384615;0,0769230769230769;1733,52215641187;117,312405001416;0,0670867505842007;0,126195553468698;0,658784934275608;0,814814510549424;0;0;0;0;0;1
1100049;1992;0;11;110004;CACOAL;0;0;72462;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0
1100049;1996;0;11;110004;CACOAL;0;0;76443;;;;;;;;;;;;;;;580,911157361425;131,308014418922;0,226038031383905;0,132207411608212;0,785599158076622;1,27325859661297;1;0;0;0;0;0
1100049;2000;0;11;110004;CACOAL;0;0;75862;25;PFL;DIVINO CARDOSO CAMPOS;0;0;0;0;0;0;0,827871772039181;0,3;0;;0,2;814,428513929729;123,274789631204;0,147560655418005;0,0823343556676662;0,723440633867993;0,970845363652747;0;1;0;0;0;0
1100049;2004;1;11;110004;CACOAL;0;0;76417;15;PMDB;SUELI ALVES ARAG√O;0;1;0;0;0;0;0,488493347716649;0,3;0;0,5;0,3;1162,84763749748;246,432120513169;0,210799568869435;0,0744743301010592;0,643345951399795;0,98524134195083;0;0;1;0;0;0
1100049;2008;0;11;110004;CACOAL;1;1;78263;15;PMDB;SUELI ALVES ARAG√ÉO;0;1;0;0;1;0;0,646841762535272;0,3;0;0,5;0,1;1579,01418177121;194,405803058941;0,14489783983205;0,0868943851104694;0,782750798641267;1,00192855070851;0;0;0;1;0;0
1100049;2012;0;11;110004;CACOAL;0;0;79330;13;PT;FRANCESCO VIALETTO;1;1;1;1;0;0;0,595626194057152;0,1;0;0,4;0,1;1884,4552371923;249,361644416917;0,125523688492368;0,105842468288203;0,731108061326986;0,924847412208618;0;0;0;0;1;0
