"FinbraCampo_Id";"FinbraCampo_ArquivoXls";"FinbraCampo_Tabela";"FinbraCampo_Campo";"FinbraCampo_Ano";"FinbraCampo_DataTab";"FinbraCampo_IDMunic"
1;"Finbra89-93.xlsx";"Erros_de_conversao";"Tipo de objeto";NA;0;0
2;"Finbra89-93.xlsx";"Erros_de_conversao";"Nome do objeto";NA;0;0
3;"Finbra89-93.xlsx";"Erros_de_conversao";"Descrição de erro";NA;0;0
4;"Finbra89-93.xlsx";"Quadro1-89";"REGIÕES E MUNICÍPIOS";1989;1;1
5;"Finbra89-93.xlsx";"Quadro1-89";"UF";1989;1;1
6;"Finbra89-93.xlsx";"Quadro1-89";"RECORÇAMENTÁRIA";1989;1;0
7;"Finbra89-93.xlsx";"Quadro1-89";"RECCORRENTE";1989;1;0
8;"Finbra89-93.xlsx";"Quadro1-89";"RECTRIBUTÁRIA";1989;1;0
9;"Finbra89-93.xlsx";"Quadro1-89";"TOTAL";1989;1;0
10;"Finbra89-93.xlsx";"Quadro1-89";"IPTU";1989;1;0
11;"Finbra89-93.xlsx";"Quadro1-89";"ISS";1989;1;0
12;"Finbra89-93.xlsx";"Quadro1-89";"IVVC";1989;1;0
13;"Finbra89-93.xlsx";"Quadro1-89";"TAXAS";1989;1;0
14;"Finbra89-93.xlsx";"Quadro1-89";"PODERDEPOLICIA";1989;1;0
15;"Finbra89-93.xlsx";"Quadro1-89";"PRESTSERVIÇO";1989;1;0
16;"Finbra89-93.xlsx";"Quadro1-90";"MUNICÍPIOS";1990;1;1
17;"Finbra89-93.xlsx";"Quadro1-90";"UF";1990;1;1
18;"Finbra89-93.xlsx";"Quadro1-90";"RECORÇAMENTÁRIA";1990;1;0
19;"Finbra89-93.xlsx";"Quadro1-90";"RECCORRENTE";1990;1;0
20;"Finbra89-93.xlsx";"Quadro1-90";"RECTRIBUTÁRIA";1990;1;0
21;"Finbra89-93.xlsx";"Quadro1-90";"IMPOSTOS";1990;1;0
22;"Finbra89-93.xlsx";"Quadro1-90";"IPTU";1990;1;0
23;"Finbra89-93.xlsx";"Quadro1-90";"ISS";1990;1;0
24;"Finbra89-93.xlsx";"Quadro1-90";"IVVC";1990;1;0
25;"Finbra89-93.xlsx";"Quadro1-90";"TAXAS";1990;1;0
26;"Finbra89-93.xlsx";"Quadro1-90";"PODERDEPOLICIA";1990;1;0
27;"Finbra89-93.xlsx";"Quadro1-90";"PRESTSERVIÇO";1990;1;0
28;"Finbra89-93.xlsx";"Quadro1-91";"REGIÕES E MUNICÍPIOS";1991;1;1
29;"Finbra89-93.xlsx";"Quadro1-91";"UF";1991;1;1
30;"Finbra89-93.xlsx";"Quadro1-91";"RECORÇAMENTARIA";1991;1;0
31;"Finbra89-93.xlsx";"Quadro1-91";"RECCORRENTE";1991;1;0
32;"Finbra89-93.xlsx";"Quadro1-91";"RECTRIBUTÁRIA";1991;1;0
33;"Finbra89-93.xlsx";"Quadro1-91";"TOTAL DE IMPOSTOS";1991;1;0
