ContasPublica_Id;DeParaFinbra_Ano;FinbraCampo_Id;ContasPublica_Nome;FinbraCampo_Campo
10000000;1993;55;RecCor;RECCORRENTE
10000000;1994;313;RecCor;RECCORRENTES
10000000;1995;327;RecCor;TOTALRECCOR
10000000;1996;341;RecCor;RECCORRENTES
10000000;1997;508;RecCor;REC_CORRE
10000000;1998;765;RecCor;Rec Correntes
10000000;1999;1010;RecCor;Rec Correntes
10000000;2000;1262;RecCor;Rec Correntes
10000000;2001;1505;RecCor;Rec Correntes
10000000;2002;1712;RecCor;Rec Correntes
10000000;2003;2061;RecCor;Rec Correntes
10000000;2004;2710;RecCor;Rec Correntes
10000000;2005;3331;RecCor;Rec Correntes
10000000;2006;3953;RecCor;Rec Correntes
10000000;2007;4588;RecCor;Rec Correntes
10000000;2008;5239;RecCor;Rec Correntes
10000000;2009;6364;RecCor;Rec Correntes
10000000;2010;7581;RecCor;Rec Correntes
10000000;2011;8820;RecCor;Rec Correntes
10000000;2012;10061;RecCor;Rec Correntes
11000000;1989;8;RecTributaria;RECTRIBUTÁRIA
11000000;1990;20;RecTributaria;RECTRIBUTÁRIA
11000000;1991;32;RecTributaria;RECTRIBUTÁRIA
11000000;1992;44;RecTributaria;RECTRIBUTÁRIA
11000000;1993;56;RecTributaria;RECTRIBUTÁRIA
11000000;1994;314;RecTributaria;RECTRIBUTÁRIAS
11000000;1995;328;RecTributaria;RECTRIBUTARIA
11000000;1996;342;RecTributaria;RECTRIBUTÁRIA
11000000;1997;509;RecTributaria;REC_TRIBUT
11000000;1998;766;RecTributaria;Rec Tributária
11000000;1999;1011;RecTributaria;Rec Tributária
11000000;2000;1263;RecTributaria;Rec Tributária
11000000;2001;1506;RecTributaria;Rec Tributária
11000000;2002;1713;RecTributaria;Rec Tributária
11000000;2003;2062;RecTributaria;Rec Tributária
11000000;2004;2711;RecTributaria;Rec Tributária
11000000;2005;3332;RecTributaria;Rec Tributária
11000000;2006;3954;RecTributaria;Rec Tributária
11000000;2007;4589;RecTributaria;Rec Tributária
11000000;2008;5240;RecTributaria;Rec Tributária
11000000;2009;6365;RecTributaria;Rec Tributária
11000000;2010;7582;RecTributaria;Rec Tributária
11000000;2011;8821;RecTributaria;Rec Tributária
11000000;2012;10062;RecTributaria;Rec Tributária
13000000;1989;66;RecPatri;RECPATRIMONIAL
13000000;1990;78;RecPatri;RECPATRIMONIAL
13000000;1991;90;RecPatri;RECPATRIMONIAL
13000000;1992;102;RecPatri;RECPATRIMONIAL
13000000;1993;114;RecPatri;RECPATRIMONIAL
13000000;1994;315;RecPatri;RECPATRIMONIAL
13000000;1995;329;RecPatri;RECPATRIMONIAL
13000000;1996;343;RecPatri;RECPATRIMONIAL
13000000;1997;510;RecPatri;REC_PATRIM
13000000;1998;779;RecPatri;Rec Patrimonial
13000000;1999;1024;RecPatri;Rec Patrimonial
13000000;2000;1276;RecPatri;Rec Patrimonial
13000000;2001;1519;RecPatri;Rec Patrimonial
13000000;2002;1726;RecPatri;Rec Patrimonial
13000000;2003;2075;RecPatri;Rec Patrimonial
13000000;2004;2727;RecPatri;Rec Patrimonial
13000000;2005;3348;RecPatri;Rec Patrimonial
13000000;2006;3970;RecPatri;Rec Patrimonial
13000000;2007;4606;RecPatri;Rec Patrimonial
13000000;2008;5257;RecPatri;Rec Patrimonial
13000000;2009;6399;RecPatri;Rec Patrimonial
13000000;2010;7616;RecPatri;Rec Patrimonial
13000000;2011;8855;RecPatri;Rec Patrimonial
13000000;2012;10096;RecPatri;Rec Patrimonial
17000000;1993;117;RecTransCor;TRANSFCORRENTES
17000000;1994;317;RecTransCor;TRANSFCORRENTES
17000000;1995;331;RecTransCor;TRANSFCORRENTES
17000000;1996;345;RecTransCor;TRANSFCORRENTES
17000000;1997;512;RecTransCor;Rec_TR_CORRENTE
17000000;1998;785;RecTransCor;Rec Transf Correntes
17000000;1999;1030;RecTransCor;Rec Transf Correntes
17000000;2000;1282;RecTransCor;Rec Transf Correntes
17000000;2001;1525;RecTransCor;Rec Transf Correntes
17000000;2002;1734;RecTransCor;Rec Transf Correntes
17000000;2003;2083;RecTransCor;Rec Transf Correntes
17000000;2004;2735;RecTransCor;Rec Transf Correntes
17000000;2005;3356;RecTransCor;Rec Transf Correntes
17000000;2006;3979;RecTransCor;Rec Transf Correntes
17000000;2007;4615;RecTransCor;Rec Transf Correntes
17000000;2008;5266;RecTransCor;Rec Transf Correntes
17000000;2009;6416;RecTransCor;Rec Transf Correntes
17000000;2010;7647;RecTransCor;Rec Transf Correntes
17000000;2011;8886;RecTransCor;Rec Transf Correntes
17000000;2012;10127;RecTransCor;Rec Transf Correntes
20000000;1993;175;RecCap;RECCAPITAL
20000000;1994;319;RecCap;RECCAPITAL
20000000;1995;333;RecCap;TOTALRECCAP
20000000;1996;347;RecCap;RECCAPITAL
20000000;1997;514;RecCap;REC_CAPIT
20000000;1998;808;RecCap;Rec de Capital
20000000;1999;1053;RecCap;Rec de Capital
20000000;2000;1305;RecCap;Rec de Capital
20000000;2001;1548;RecCap;Rec de Capital
20000000;2002;1773;RecCap;Rec de Capital
20000000;2003;2122;RecCap;Rec de Capital
20000000;2004;2805;RecCap;Rec de Capital
