"Munic_Id";"UG";"Munic_Nome";"UF_Sigla"
"1100015";"980033";"ALTA FLORESTA DOESTE";"RO"
"1100023";"980007";"ARIQUEMES";"RO"
"1100031";"980037";"CABIXI";"RO"
"1100049";"980009";"CACOAL";"RO"
"1100056";"980027";"CEREJEIRAS";"RO"
"1100064";"980023";"COLORADO DO OESTE";"RO"
"1100072";"980981";"CORUMBIARA";"RO"
"1100080";"980021";"COSTA MARQUES";"RO"
"1100098";"980025";"ESPIGAO DOESTE";"RO"
"1100106";"980001";"GUAJARA-MIRIM";"RO"
"1100114";"980015";"JARU";"RO"
"1100122";"980005";"JI-PARANA";"RO"
"1100130";"980039";"MACHADINHO DOESTE";"RO"
"1100148";"980041";"NOVA BRASILANDIA DOESTE";"RO"
"1100155";"980017";"OURO PRETO DO OESTE";"RO"
"1100189";"980011";"PIMENTA BUENO";"RO"
"1100205";"980003";"PORTO VELHO";"RO"
"1100254";"980019";"PRESIDENTE MEDICI";"RO"
"1100262";"980687";"RIO CRESPO";"RO"
"1100288";"980029";"ROLIM DE MOURA";"RO"
"1100296";"980043";"SANTA LUZIA DOESTE";"RO"
"1100304";"980013";"VILHENA";"RO"
"1100320";"980045";"SAO MIGUEL DO GUAPORE";"RO"
"1100338";"980047";"NOVA MAMORE";"RO"
"1100346";"980035";"ALVORADA DO OESTE";"RO"
"1100379";"980002";"ALTO ALEGRE DOS PARECIS";"RO"
"1100403";"980675";"ALTO PARAISO";"RO"
"1100452";"980004";"BURITIS";"RO"
"1100502";"980689";"NOVO HORIZONTE DOESTE";"RO"
"1100601";"980677";"CACAULANDIA";"RO"
"1100700";"980679";"CAMPO NOVO DE RONDONIA";"RO"
"1100809";"980681";"CANDEIAS DO JAMARI";"RO"
"1100908";"980691";"CASTANHEIRAS";"RO"
"1100924";"980006";"CHUPINGUAIA";"RO"
"1100940";"980008";"CUJUBIM";"RO"
"1101005";"980693";"GOVERNADOR JORGE TEIXEIRA";"RO"
"1101203";"980695";"MINISTRO ANDREAZZA";"RO"
"1101302";"980697";"MIRANTE DA SERRA";"RO"
"1101401";"980685";"MONTE NEGRO";"RO"
"1101435";"980010";"NOVA UNIAO";"RO"
"1101450";"980012";"PARECIS";"RO"
"1101468";"980014";"PIMENTEIRAS DO OESTE";"RO"
"1101476";"980016";"PRIMAVERA DE RONDONIA";"RO"
"1101484";"980018";"SAO FELIPE DOESTE";"RO"
"1101492";"980020";"SAO FRANCISCO DO GUAPORE";"RO"
"1101500";"980699";"SERINGUEIRAS";"RO"
"1101559";"980022";"TEIXEIROPOLIS";"RO"
"1101609";"980975";"THEOBROMA";"RO"
"1101708";"980977";"URUPA";"RO"
"1101757";"980024";"VALE DO ANARI";"RO"
"1101807";"980979";"VALE DO PARAISO";"RO"
"1200013";"980643";"ACRELANDIA";"AC"
"1200054";"980157";"ASSIS BRASIL";"AC"
"1200104";"980105";"BRASILEIA";"AC"
"1200138";"980645";"BUJARI";"AC"
"1200179";"980647";"CAPIXABA";"AC"
"1200203";"980107";"CRUZEIRO DO SUL";"AC"
"1200252";"980651";"EPITACIOLANDIA";"AC"
"1200302";"980113";"FEIJO";"AC"
"1200328";"980653";"JORDAO";"AC"
"1200336";"980109";"MANCIO LIMA";"AC"
"1200344";"980155";"MANOEL URBANO";"AC"
"1200351";"980655";"MARECHAL TAUMATURGO";"AC"
"1200385";"980151";"PLACIDO DE CASTRO";"AC"
"1200393";"980657";"PORTO WALTER";"AC"
"1200401";"980139";"RIO BRANCO";"AC"
"1200427";"980659";"RODRIGUES ALVES";"AC"
"1200435";"980661";"SANTA ROSA";"AC"
"1200450";"980153";"SENADOR GUIOMARD";"AC"
"1200500";"980145";"SENA MADUREIRA";"AC"
"1200609";"980147";"TARAUACA";"AC"
"1200708";"980149";"XAPURI";"AC"
"1200807";"980649";"PORTO ACRE";"AC"
"1300029";"980289";"ALVARAES";"AM"
"1300060";"980291";"AMATURA";"AM"
"1300086";"980293";"ANAMA";"AM"
"1300102";"980203";"ANORI";"AM"
"1300144";"980969";"APUI";"AM"
"1300300";"980207";"AUTAZES";"AM"
"1300409";"980209";"BARCELOS";"AM"
"1300508";"980211";"BARREIRINHA";"AM"
"1300607";"980213";"BENJAMIN CONSTANT";"AM"
"1300631";"980295";"BERURI";"AM"
"1300706";"980215";"BOCA DO ACRE";"AM"
"1300805";"980217";"BORBA";"AM"
"1300839";"980299";"CAAPIRANGA";"AM"
"1300904";"980219";"CANUTAMA";"AM"
"1301001";"980221";"CARAUARI";"AM"
"1301100";"980223";"CAREIRO";"AM"
"1301159";"980965";"CARREIRO DA VARZEA";"AM"
"1301209";"980225";"COARI";"AM"
"1301308";"980227";"CODAJAS";"AM"
"1301407";"980229";"EIRUNEPE";"AM"
"1301506";"980231";"ENVIRA";"AM"
"1301605";"980233";"FONTE BOA";"AM"
"1301654";"980967";"GUAJARA";"AM"
"1301803";"980239";"IPIXUNA";"AM"
"1301852";"989835";"IRANDUBA";"AM"
"1301902";"980241";"ITACOATIARA";"AM"
"1301951";"989837";"ITAMARATI";"AM"
"1302207";"980247";"JURUA";"AM"
"1302306";"980249";"JUTAI";"AM"
"1302405";"980251";"LABREA";"AM"
"1302504";"980253";"MANACAPURU";"AM"
"1302553";"989839";"MANAQUIRI";"AM"
"1302603";"980255";"MANAUS";"AM"
"1302702";"980257";"MANICORE";"AM"
"1302801";"980259";"MARAA";"AM"
"1302900";"980261";"MAUES";"AM"
"1303007";"980263";"NHAMUNDA";"AM"
"1303106";"980265";"NOVA OLINDA DO NORTE";"AM"
"1303205";"980201";"NOVO AIRAO";"AM"
"1303304";"980267";"NOVO ARIPUANA";"AM"
"1303403";"980269";"PARINTINS";"AM"
"1303502";"980271";"PAUINI";"AM"
"1303536";"989841";"PRESIDENTE FIGUEIREDO";"AM"
"1303569";"989843";"RIO PRETO DA EVA";"AM"
"1303601";"980237";"SANTA ISABEL DO RIO NEGRO";"AM"
"1303700";"980273";"SANTO ANTONIO DO ICA";"AM"
"1303809";"980283";"SAO GABRIEL DA CACHOEIRA";"AM"
"1303908";"980275";"SAO PAULO DE OLIVENCA";"AM"
"1303957";"989845";"SAO SEBASTIAO DO UATUMA";"AM"
"1304005";"980277";"SILVES";"AM"
"1304062";"989847";"TABATINGA";"AM"
"1304104";"980279";"TAPAUA";"AM"
"1304203";"980281";"TEFE";"AM"
"1304237";"989851";"TONANTINS";"AM"
"1304260";"989849";"UARINI";"AM"
"1304302";"980285";"URUCARA";"AM"
"1304401";"980287";"URUCURITUBA";"AM"
"1400027";"980026";"AMAJARI";"RR"
"1400100";"980301";"BOA VISTA";"RR"
"1400175";"980028";"CANTA";"RR"
"1400209";"980303";"CARACARAI";"RR"
"1400233";"980030";"CAROEBE";"RR"
"1400282";"980032";"IRACEMA";"RR"
"1400308";"980309";"MUCAJAI";"RR"
"1400407";"980311";"NORMANDIA";"RR"
"1400456";"980034";"PACARAIMA";"RR"
"1400472";"980036";"RORAINOPOLIS";"RR"
"1400506";"980313";"SAO JOAO DA BALIZA";"RR"
"1400605";"980315";"SAO LUIZ";"RR"
"1400704";"980038";"UIRAMUTA";"RR"
"1500107";"980401";"ABAETETUBA";"PA"
"1500131";"980375";"ABEL FIGUEIREDO";"PA"
"1500206";"980403";"ACARA";"PA"
"1500305";"980405";"AFUA";"PA"
"1500404";"980407";"ALENQUER";"PA"
"1500503";"980409";"ALMEIRIM";"PA"
"1500602";"980411";"ALTAMIRA";"PA"
"1500701";"980413";"ANAJAS";"PA"
"1500800";"980415";"ANANINDEUA";"PA"
"1500859";"980040";"ANAPU";"PA"
"1500909";"980417";"AUGUSTO CORREA";"PA"
"1500958";"980389";"AURORA DO PARA";"PA"
"1501006";"980419";"AVEIRO";"PA"
"1501105";"980421";"BAGRE";"PA"
"1501204";"980423";"BAIAO";"PA"
"1501253";"980042";"BANNACH";"PA"
"1501303";"980425";"BARCARENA";"PA"
"1501402";"980427";"BELEM";"PA"
"1501451";"980044";"BELTERRA";"PA"
"1501501";"980429";"BENEVIDES";"PA"
"1501576";"980575";"BOM JESUS DO TOCANTINS";"PA"
"1501600";"980431";"BONITO";"PA"
"1501709";"980433";"BRAGANCA";"PA"
"1501725";"980639";"BRASIL NOVO";"PA"
"1501758";"980577";"BREJO GRANDE DO ARAGUAIA";"PA"
"1501782";"980625";"BREU BRANCO";"PA"
"1501808";"980435";"BREVES";"PA"
"1501907";"980437";"BUJARU";"PA"
"1501956";"980046";"CACHOEIRA DO PIRIA";"PA"
"1502004";"980439";"CACHOEIRA DO ARARI";"PA"
"1502103";"980441";"CAMETA";"PA"
"1502152";"980048";"CANAA DOS CARAJAS";"PA"
"1502202";"980443";"CAPANEMA";"PA"
"1502301";"980445";"CAPITAO POCO";"PA"
"1502400";"980447";"CASTANHAL";"PA"
"1502509";"980449";"CHAVES";"PA"
"1502608";"980451";"COLARES";"PA"
"1502707";"980453";"CONCEICAO DO ARAGUAIA";"PA"
"1502756";"980579";"CONCORDIA DO PARA";"PA"
"1502764";"980385";"CUMARU DO NORTE";"PA"
"1502772";"980581";"CURIONOPOLIS";"PA"
"1502806";"980455";"CURRALINHO";"PA"
"1502855";"980050";"CURUA";"PA"
"1502905";"980457";"CURUCA";"PA"
"1502939";"980583";"DOM ELISEU";"PA"
"1502954";"980377";"ELDORADO DO CARAJAS";"PA"
"1503002";"980459";"FARO";"PA"
"1503044";"980052";"FLORESTA DO ARAGUAIA";"PA"
"1503077";"980585";"GARRAFAO DO NORTE";"PA"
"1503093";"980627";"GOIANESIA DO PARA";"PA"
"1503101";"980461";"GURUPA";"PA"
"1503200";"980463";"IGARAPE-ACU";"PA"
"1503309";"980465";"IGARAPE-MIRIM";"PA"
"1503408";"980467";"INHANGAPI";"PA"
"1503457";"980621";"IPIXUNA DO PARA";"PA"
"1503507";"980469";"IRITUIA";"PA"
"1503606";"980471";"ITAITUBA";"PA"
"1503705";"980473";"ITUPIRANGA";"PA"
"1503754";"980631";"JACAREACANGA";"PA"
"1503804";"980475";"JACUNDA";"PA"
"1503903";"980477";"JURUTI";"PA"
"1504000";"980479";"LIMOEIRO DO AJURU";"PA"
"1504059";"980587";"MAE DO RIO";"PA"
"1504109";"980481";"MAGALHAES BARATA";"PA"
"1504208";"980483";"MARABA";"PA"
"1504307";"980485";"MARACANA";"PA"
"1504406";"980487";"MARAPANIM";"PA"
"1504422";"980054";"MARITUBA";"PA"
"1504455";"980589";"MEDICILANDIA";"PA"
"1504505";"980489";"MELGACO";"PA"
"1504604";"980491";"MOCAJUBA";"PA"
"1504703";"980493";"MOJU";"PA"
"1504802";"980495";"MONTE ALEGRE";"PA"
"1504901";"980497";"MUANA";"PA"
"1504950";"980391";"NOVA ESPERANCA DO PIRIA";"PA"
"1504976";"980056";"NOVA IPIXUNA";"PA"
"1505007";"980499";"NOVA TIMBOTEUA";"PA"
"1505031";"980633";"NOVO PROGRESSO";"PA"
"1505064";"980629";"NOVO REPARTIMENTO";"PA"
"1505106";"980501";"OBIDOS";"PA"
"1505205";"980503";"OEIRAS DO PARA";"PA"
"1505304";"980505";"ORIXIMINA";"PA"
"1505403";"980507";"OUREM";"PA"
"1505437";"980591";"OURILANDIA DO NORTE";"PA"
"1505486";"980593";"PACAJA";"PA"
"1505494";"980379";"PALESTINA DO PARA";"PA"
"1505502";"980509";"PARAGOMINAS";"PA"
"1505536";"980595";"PARAUAPEBAS";"PA"
"1505551";"980387";"PAU D ARCO";"PA"
"1505601";"980511";"PEIXE-BOI";"PA"
"1505635";"980058";"PICARRA";"PA"
"1505650";"980060";"PLACAS";"PA"
"1505700";"980513";"PONTA DE PEDRAS";"PA"
"1505809";"980515";"PORTEL";"PA"
"1505908";"980517";"PORTO DE MOZ";"PA"
"1506005";"980519";"PRAINHA";"PA"
"1506104";"980521";"PRIMAVERA";"PA"
"1506112";"980062";"QUATIPURU";"PA"
"1506138";"980567";"REDENCAO";"PA"
"1506161";"980569";"RIO MARIA";"PA"
"1506187";"980573";"RONDON DO PARA";"PA"
"1506195";"980597";"RUROPOLIS";"PA"
"1506203";"980523";"SALINOPOLIS";"PA"
"1506302";"980525";"SALVATERRA";"PA"
"1506351";"980369";"SANTA BARBARA DO PARA";"PA"
"1506401";"980527";"SANTA CRUZ DO ARARI";"PA"
"1506500";"980529";"SANTA ISABEL DO PARA";"PA"
"1506559";"980371";"SANTA LUZIA DO PARA";"PA"
"1506583";"980599";"SANTA MARIA DAS BARREIRAS";"PA"
"1506609";"980531";"SANTA MARIA DO PARA";"PA"
"1506708";"980533";"SANTANA DO ARAGUAIA";"PA"
"1506807";"980535";"SANTAREM";"PA"
"1506906";"980537";"SANTAREM NOVO";"PA"
"1507003";"980539";"SANTO ANTONIO DO TAUA";"PA"
"1507102";"980541";"SAO CAETANO DE ODIVELAS";"PA"
"1507151";"980381";"SAO DOMINGOS DO ARAGUAIA";"PA"
"1507201";"980543";"SAO DOMINGOS DO CAPIM";"PA"
"1507300";"980545";"SAO FELIX DO XINGU";"PA"
"1507409";"980547";"SAO FRANCISCO DO PARA";"PA"
"1507458";"980619";"SAO GERALDO DO ARAGUAIA";"PA"
"1507466";"980064";"SAO JOAO DA PONTA";"PA"
"1507508";"980549";"SAO JOAO DO ARAGUAIA";"PA"
"1507607";"980551";"SAO MIGUEL DO GUAMA";"PA"
"1507706";"980553";"SAO SEBASTIAO DA BOA VISTA";"PA"
"1507755";"980066";"SAPUCAIA";"PA"
"1507805";"980555";"SENADOR JOSE PORFIRIO";"PA"
"1507904";"980557";"SOURE";"PA"
"1507953";"980395";"TAILANDIA";"PA"
"1507961";"980373";"TERRA ALTA";"PA"
"1507979";"980637";"TERRA SANTA";"PA"
"1508001";"980559";"TOME-ACU";"PA"
"1508035";"980068";"TRACUATEUA";"PA"
"1508050";"980635";"TRAIRAO";"PA"
"1508084";"980397";"TUCUMA";"PA"
"1508100";"980561";"TUCURUI";"PA"
"1508126";"980623";"ULIANOPOLIS";"PA"
"1508159";"980399";"URUARA";"PA"
"1508209";"980563";"VIGIA";"PA"
"1508308";"980565";"VIZEU";"PA"
"1508357";"980641";"VITORIA DO XINGU";"PA"
"1508407";"980571";"XINGUARA";"PA"
"1600055";"980665";"SERRA DO NAVIO";"AP"
"1600105";"980601";"AMAPA";"AP"
"1600154";"980663";"AMAPARI";"AP"
"1600204";"980603";"CALCOENE";"AP"
"1600212";"980667";"CUTIAS";"AP"
"1600238";"980611";"FERREIRA__GOMES";"AP"
"1600253";"980669";"ITAUBAL";"AP"
"1600279";"980613";"LARANJAL DO JARI";"AP"
"1600303";"980605";"MACAPA";"AP"
"1600402";"980607";"MAZAGAO";"AP"
"1600501";"980609";"OIAPOQUE";"AP"
"1600535";"980671";"PORTO GRANDE";"AP"
"1600550";"980673";"PRACUUBA";"AP"
"1600600";"980615";"SANTANA";"AP"
"1600709";"980617";"TARTARUGALZINHO";"AP"
"1600808";"980070";"VITORIA DO JARI";"AP"
"1700251";"980337";"ABREULANDIA";"TO"
"1700301";"980072";"AGUIARNOPOLIS";"TO"
"1700350";"989441";"ALIANCA DO TOCANTINS";"TO"
"1700400";"989207";"ALMAS";"TO"
"1700707";"989213";"ALVORADA";"TO"
"1701002";"989219";"ANANAS";"TO"
"1701051";"980165";"ANGICO";"TO"
"1701101";"989713";"APARECIDA DO RIO NEGRO";"TO"
"1701309";"980167";"ARAGOMINAS";"TO"
"1701903";"989237";"ARAGUACEMA";"TO"
"1702000";"989239";"ARAGUACU";"TO"
"1702109";"989241";"ARAGUAINA";"TO"
