FinRawFiles_Id;FileList_FilePath;FinRawFiles_FileName;FinRawFiles_FileXlsx;FinRawFiles_DataType;FinRawFiles_FormatRawFile;FinRawFiles_FileURL;FinRawFiles_FileURLBackup;FinRawFiles_Source;FinRawFiles_InitialYear;FinRawFiles_FinalYear
1;data/raw/Finbra/OriginalFiles/Finbra89-93.zip;Finbra89-93.zip;Finbra89-93.xlsx;Rev&Spen;accdb;http://www.tesouro.fazenda.gov.br/documents/10180/137007/Finbra89-93.zip/de9140b6-b5bc-4777-983e-7246d63a97e9;https://dl.dropboxusercontent.com/s/m8w0qcgopmkzqfc/Finbra89-93.zip;STN;1989;1993
2;data/raw/Finbra/OriginalFiles/Finbra94-96.zip;Finbra94-96.zip;Finbra94-96.xlsx;Rev&Spen;accdb;http://www.tesouro.fazenda.gov.br/documents/10180/137007/Finbra94-96.zip/fc1c7c2a-b024-4848-8ffc-bf619c40272b;https://dl.dropboxusercontent.com/s/8zkld5oc9y2gyz3/Finbra94-96.zip;STN;1994;1996
3;data/raw/Finbra/OriginalFiles/Finbra1997.zip;Finbra1997.zip;Finbra1997.xlsx;Rev&Spen;accdb;http://www.tesouro.fazenda.gov.br/documents/10180/137007/Finbra1997.zip/5d6360b7-a634-4504-825f-a44ebf83c45a;https://dl.dropboxusercontent.com/s/wuaht8ffwqbtvm3/Finbra1997.zip;STN;1997;1997
4;data/raw/Finbra/OriginalFiles/Finbra1998.zip;Finbra1998.zip;Finbra1998.xlsx;Rev&Spen;accdb;http://www.tesouro.fazenda.gov.br/documents/10180/137007/Finbra1998.zip/713fb0ae-bfe3-4750-bbae-48a3f50c8f61;https://dl.dropboxusercontent.com/s/za9eqittyx0uh8t/Finbra1998.zip;STN;1998;1998
5;data/raw/Finbra/OriginalFiles/Finbra1999.zip;Finbra1999.zip;Finbra1999.xlsx;Rev&Spen;accdb;http://www.tesouro.fazenda.gov.br/documents/10180/137007/Finbra1999.zip/abc3629d-fd95-4cb4-b35e-733aacbf3217;https://dl.dropboxusercontent.com/s/4mlzsayls3tu2jt/Finbra1999.zip;STN;1999;1999
6;data/raw/Finbra/OriginalFiles/Finbra2000.zip;Finbra2000.zip;Finbra2000.xlsx;Rev&Spen;accdb;http://www.tesouro.fazenda.gov.br/documents/10180/137007/Finbra2000.zip/312ba81c-4ea7-45b8-af1e-97c1eccc0599;https://dl.dropboxusercontent.com/s/ztngcfzt6gu85mx/Finbra2000.zip;STN;2000;2000
7;data/raw/Finbra/OriginalFiles/Finbra2001v0809.zip;Finbra2001v0809.zip;Finbra2001.xlsx;Rev&Spen;accdb;http://www.tesouro.fazenda.gov.br/documents/10180/137713/Finbra2001v0809.zip;https://dl.dropboxusercontent.com/s/uscpahl4oc7mnti/Finbra2001v0809.zip;STN;2001;2001
8;data/raw/Finbra/OriginalFiles/Finbra2002v0809.zip;Finbra2002v0809.zip;Finbra2002.xlsx;Rev&Spen;accdb;http://www.tesouro.fazenda.gov.br/documents/10180/137713/Finbra2002v0809.zip;https://dl.dropboxusercontent.com/s/nciadofccyflmb5/Finbra2002v0809.zip;STN;2002;2002
9;data/raw/Finbra/OriginalFiles/Finbra2003.zip;Finbra2003.zip;Finbra2003.xlsx;Rev&Spen;accdb;http://www.tesouro.fazenda.gov.br/documents/10180/137007/Finbra2003.zip;https://dl.dropboxusercontent.com/s/cez8hd3t699pjez/Finbra2003.zip;STN;2003;2003
10;data/raw/Finbra/OriginalFiles/Finbra2004v0809b.zip;Finbra2004v0809b.zip;Finbra2004.xlsx;Rev&Spen;accdb;http://www.tesouro.fazenda.gov.br/documents/10180/137713/Finbra2004v0809b.zip;https://dl.dropboxusercontent.com/s/nrwq2jqqr4cm1ly/Finbra2004v0809b.zip;STN;2004;2004
